Tip,Segment,Algoritma,MAPE,RMSE,MAE,Test_2024,Test_2025,Gercek_2024,Gercek_2025,Forecast_2026,Forecast_2027
Cluster,Cluster_0,HoltWinters,18.373584903325202,0.18493899096461633,0.1844576383495906,1.0608243984814578,1.3271684002177235,0.889701303,1.129376219,1.5935124019539892,1.8598564036902552
Cluster,Cluster_0,Prophet,30.60270968371841,0.32765570637263924,0.3152105658654131,0.6639365927420956,0.7247197975270784,0.889701303,1.129376219,0.7853369279820478,0.8459540584370169
Cluster,Cluster_0,LightGBM,60.12014089794585,0.6242203178334762,0.6126091648483757,0.39692959615162443,0.39692959615162443,0.889701303,1.129376219,0.39692959615162443,0.39692959615162443
Cluster,Cluster_5,Linear,41.29906446782389,0.027186168477514008,0.02508562982222249,0.03198375277777732,0.033834410577777696,0.046590884,0.069398539,0.03568506837777763,0.03753572617777756
Cluster,Cluster_5,ARIMA,42.62258757633005,0.032920463418141484,0.027362401661520905,0.03753301420845025,0.023731605468507937,0.046590884,0.069398539,0.023731605468507937,0.023731605468507937
Cluster,Cluster_5,HoltWinters,25.858276997582657,0.014151627907347333,0.013958900524601414,0.06287737309913391,0.08102985095006891,0.046590884,0.069398539,0.09918232880100392,0.1173348066519389
Cluster,Cluster_5,Prophet,41.357339030941475,0.027217069863462305,0.02511843835694436,0.03195256713381014,0.03379997915230114,0.046590884,0.069398539,0.035642343596971125,0.037484708041641106
Cluster,Cluster_5,LightGBM,58.24462445055099,0.03654021234093456,0.034715124027876236,0.023279587472123758,0.023279587472123758,0.046590884,0.069398539,0.023279587472123758,0.023279587472123758
Cluster,Cluster_6,Linear,9.779217021364412,1.4353342757784586,1.3938968945526113,12.155135586972392,13.236237766922386,13.206635153,14.97253199,14.31733994687238,15.398442126822374
Cluster,Cluster_6,ARIMA,2.794286407504036,0.4091127074209713,0.3980728819621877,13.510308945879531,15.465003961044845,13.206635153,14.97253199,17.17358214940007,18.66703222886238
Cluster,Cluster_6,HoltWinters,9.779217514692194,1.4353343442459499,1.3938969640452123,12.155135521592603,13.236237693316973,13.206635153,14.97253199,14.317339865041344,15.398442036765713
Cluster,Cluster_6,Prophet,9.829527984701175,1.4420431828855935,1.4009263417077813,12.147606349183421,13.229708110401017,13.206635153,14.97253199,14.3088533094295,15.387998508457976
Cluster,Cluster_6,LightGBM,45.38763069135061,6.485529977996819,6.425146005015277,7.6644375664847235,7.6644375664847235,13.206635153,14.97253199,7.6644375664847235,7.6644375664847235
Cluster,Cluster_9,Linear,37.28611249069059,0.028316047201828166,0.02273560129999983,0.027495649000000455,0.029870247399999883,0.033352537,0.069484562,0.0322448458000002,0.03461944419999963
Cluster,Cluster_9,ARIMA,32.53588955677657,0.02881270145727858,0.02143079673890539,0.031180315400548348,0.028795190121640876,0.033352537,0.069484562,0.026860062823730706,0.025290033067963572
Cluster,Cluster_9,HoltWinters,25.250293515180054,0.014767026857238639,0.013490650384312686,0.04083757047922698,0.04998829471060161,0.033352537,0.069484562,0.059139018941976235,0.06828974317335086
Cluster,Cluster_9,Prophet,37.308162319910885,0.02832260650432662,0.022744970841532465,0.027484661305937737,0.02986249601099733,0.033352537,0.069484562,0.03223383389992288,0.03460517178884843
Cluster,Cluster_9,LightGBM,61.60434361844409,0.03860173144521231,0.03411323589045954,0.017305313609540462,0.017305313609540462,0.033352537,0.069484562,0.017305313609540462,0.017305313609540462
